Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
113,399.0000,-0.2546,6.4500,-78.3136,NaN,NaN,16.0114,0.5758,0.0091,0.0000,0.0000
114,392.0000,2.0538,5.5000,-153.6033,NaN,NaN,11.8094,0.5508,0.0444,0.0000,0.0000
115,392.0000,3.6231,6.7500,-95.4595,NaN,NaN,22.9623,0.5389,0.0313,0.0000,0.0000
116,385.0000,5.0231,6.4500,0.0000,NaN,NaN,22.1860,NaN,0.0000,0.0000,0.0000
117,372.0000,5.0407,5.8000,0.0000,NaN,NaN,10.1708,NaN,0.0000,0.0000,0.0000
118,366.0000,2.3305,5.8000,-93.2216,NaN,NaN,27.1937,0.5858,0.0204,0.0000,0.0000
119,357.0000,4.7690,6.9000,0.0000,NaN,NaN,28.4421,NaN,0.0000,0.0000,0.0000
120,344.0000,3.8118,5.6500,0.0000,NaN,NaN,25.2747,NaN,0.1111,0.0000,0.0000
121,343.0000,4.6586,5.7500,0.0000,NaN,NaN,19.9439,NaN,0.2000,0.0000,0.0000
122,341.0000,3.4381,5.5500,0.0000,NaN,NaN,17.8154,NaN,0.0000,0.0000,0.0000
123,340.0000,2.5409,6.3000,0.0000,NaN,NaN,17.4622,NaN,0.2222,0.0000,0.1111
124,337.0000,-1.5638,6.6000,0.0000,NaN,NaN,19.2132,NaN,0.0208,0.0000,0.0000
125,318.0000,4.8737,7.9000,0.0000,NaN,NaN,18.8735,NaN,0.0000,0.0000,0.0000
126,313.0000,3.0947,6.7000,0.0000,NaN,NaN,13.0504,NaN,0.0000,0.0000,0.0000
127,297.0000,4.8054,6.4500,0.0000,NaN,NaN,17.5890,NaN,0.0000,0.0000,0.0000
128,295.0000,4.0210,5.7000,0.0000,NaN,NaN,21.2204,NaN,0.0833,0.0000,0.0000
129,289.0000,4.6779,6.7000,0.0000,NaN,NaN,5.9492,NaN,0.0000,0.0000,0.0000
130,278.0000,0.1357,6.5500,-13.6070,NaN,NaN,23.5766,0.6315,0.0000,0.0000,0.0000
131,274.0000,2.6242,5.9500,0.0000,NaN,NaN,13.5126,NaN,0.0400,0.0000,0.0000
