Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
91,1147.0000,5.0572,6.1000,0.0000,NaN,NaN,26.5474,NaN,0.1800,0.0000,0.0000
92,1143.0000,5.5570,7.8000,-29.9698,NaN,NaN,23.0264,0.6318,0.0526,0.0000,0.0000
93,1141.0000,6.7570,5.3000,0.0000,NaN,NaN,34.8628,NaN,0.0000,0.0000,0.0000
94,1114.0000,5.8451,6.7000,-77.9215,NaN,NaN,8.2235,0.6164,0.1304,0.0000,0.0000
95,1110.0000,3.9451,7.8000,-73.8419,NaN,NaN,23.1181,0.5498,0.0565,0.0000,0.0000
96,1094.0000,5.0654,7.9500,0.0000,NaN,NaN,19.9712,NaN,0.1154,0.0000,0.0000
97,1060.0000,6.4635,7.5500,0.0000,NaN,NaN,53.0050,NaN,0.0270,0.0000,0.0000
98,1024.0000,1.0754,4.7000,-271.1894,NaN,NaN,13.3410,0.4391,0.2000,0.0000,0.0118
99,1013.0000,6.6740,5.7000,0.0000,NaN,NaN,18.0953,NaN,0.0000,0.0000,0.0000
100,1011.0000,-30.3830,6.5500,-32.3058,NaN,NaN,39.9938,0.6097,0.2040,0.0000,0.0085
101,1011.0000,5.3591,7.6000,0.0000,NaN,NaN,28.2393,NaN,0.0755,0.0000,0.0000
102,1002.0000,3.6957,5.6000,-46.1512,NaN,NaN,38.5059,0.5656,0.2453,0.0000,0.0000
103,996.0000,4.9419,7.0500,-40.8210,NaN,NaN,31.3770,0.6284,0.0571,0.0000,0.0000
104,994.0000,6.4236,7.5000,0.0000,NaN,NaN,16.6096,NaN,0.0000,0.0000,0.0000
105,974.0000,-12.4541,7.7000,-105.3565,NaN,NaN,19.4816,0.6043,0.2441,0.0000,0.0237
106,946.0000,5.6559,7.9500,0.0000,NaN,NaN,27.6089,NaN,0.0149,0.0000,0.0000
107,942.0000,3.2399,8.0000,-138.0106,NaN,NaN,25.3663,0.5519,0.1111,0.0000,0.0476
