iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
2800	1558073544053	8907	71	0.003887783790992032	0.0023093410133342702	8503	404	0.98621163056886
2900	1558074684739	9198	65	0.003915910075899852	0.0023154429652979228	8762	435	0.9861785035616256
3000	1558075822193	8886	66	0.003942980652760954	0.0023230912589135683	8511	374	0.9861747141253737
3100	1558076959922	8931	65	0.003970106793203463	0.0023311868696569353	8477	453	0.9861415315545579
3200	1558078097094	9037	64	0.003990976474379633	0.0023381935778284853	8616	421	0.986122806627624
3300	1558079236029	8901	123	0.004007834464978275	0.0023457200421609804	8514	386	0.9861090268594352
3400	1558080377965	8928	60	0.004019069421138609	0.0023513885794376314	8503	425	0.986074999722182
3500	1558081527477	9233	69	0.00403251580783891	0.002356529555674336	8837	395	0.9860701212397346
3600	1558082672511	8737	64	0.004045250980697212	0.0023615617514099697	8554	183	0.9860686654739018
3700	1558083818683	9119	73	0.004056863769211108	0.0023654173616362633	8708	411	0.9860425283652083
3800	1558084967590	9344	62	0.004067209708068943	0.002368301508329452	8916	428	0.9860526742751731
3900	1558086120429	13586	67	0.004075610921577561	0.0023719678502399817	13347	238	0.986034060475402
4000	1558087272507	8872	63	0.004089090646426706	0.002375685533620187	8685	187	0.9860107904475091
4100	1558088424812	9098	68	0.004101492437796571	0.0023820495587865316	8720	378	0.9860088790603088
4200	1558089580108	9257	101	0.004117717003567182	0.002389530169454899	8830	427	0.9859817306944336
4300	1558090735829	8881	68	0.004130096569504484	0.0023980833412296757	8693	187	0.9859778634691677
4400	1558091894053	9404	70	0.004148665918410437	0.0024058305372964073	8980	424	0.9859722404347294
4500	1558093051728	9025	65	0.004164712680720549	0.002411882123400259	8828	197	0.9859564492648938
4600	1558094213524	9107	70	0.00417314723237801	0.00241638992882804	8718	389	0.985932512474024
4700	1558095373142	9173	74	0.004184671119161656	0.002419530173113436	8741	431	0.98591417649216
4800	1558096537258	8927	73	0.0041945169857868355	0.0024219833441443102	8712	215	0.9859213330814451
4900	1558097698747	9066	67	0.004203529398690922	0.002423497002865488	8854	212	0.9859056974896374
5000	1558098859431	13817	71	0.004213664195939414	0.0024250127347576504	13404	412	0.9859006412037294
5100	1558100018606	9253	68	0.00421936501939169	0.0024258741982773413	8907	345	0.9858859279673731
5200	1558101178640	8933	70	0.0042278773600631205	0.0024266127349527726	8744	188	0.9859031082267439
5300	1558102341673	9228	71	0.004240845899963328	0.002428095661962886	8848	379	0.9858718148176959
5400	1558103508179	9273	72	0.00426030426617178	0.002430378954924263	8911	362	0.9858608799048751
5500	1558104668995	9249	71	0.004285496793981353	0.0024348195652218983	8869	380	0.9858233522619934
5600	1558105825622	9127	109	0.004317445853289919	0.002442029322198698	8827	300	0.9857902474801916
5700	1558106984392	9177	72	0.004358085056730417	0.002451172372094192	8816	360	0.9857595541578228
5800	1558108140971	9270	72	0.004385922411014925	0.0024610906659866664	8852	418	0.9857165701712469
5900	1558109298550	9210	76	0.004412492915643371	0.0024708170086362204	8911	298	0.9857106582061853
6000	1558110463731	8883	73	0.004438485559025192	0.002478326033942199	8697	186	0.9856636958671808
6100	1558111635296	13789	69	0.004459977552313112	0.002485243839663883	13586	202	0.9856529832086857
6200	1558112802873	9146	71	0.0044753464389300675	0.0024911409135537697	8739	407	0.9856361252180871
6300	1558113968371	9273	70	0.004482225210308156	0.0024950631091540374	8856	416	0.9856390367497527
6400	1558115136310	9020	77	0.004489192883416493	0.0024962057922202183	8783	237	0.985624390189694
6500	1558116302874	9229	73	0.004504361741140387	0.0024964145727334845	8832	397	0.9856212119528376
6600	1558117466710	9154	72	0.004520352939869092	0.002497200426487857	8946	208	0.9856074766355141
