Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
212,1934.0000,-1.2722,6.9000,-132.8109,NaN,NaN,12.0498,0.5815,0.0177,0.0000,0.0088
213,1932.0000,-11.8308,7.2000,-114.3347,NaN,NaN,7.0559,0.6546,0.0000,0.0000,0.0000
214,1931.0000,-5.8209,7.7000,-7.0040,NaN,NaN,24.4376,0.6386,0.1034,0.0000,0.0172
215,1917.0000,3.6876,7.2500,0.0000,NaN,NaN,31.8727,NaN,0.0000,0.0000,0.0000
216,1915.0000,3.2125,7.7000,-34.0175,NaN,NaN,34.0166,0.6295,0.0000,0.0000,0.0000
217,1914.0000,2.3279,6.9000,-113.2520,NaN,NaN,41.2507,0.5522,0.0233,0.0000,0.0000
218,1912.0000,4.4667,7.0500,0.0000,NaN,NaN,28.2144,NaN,0.0769,0.0000,0.0000
219,1908.0000,3.1627,7.7500,-53.2098,NaN,NaN,40.2938,0.6226,0.0135,0.0000,0.0000
220,1899.0000,3.4009,8.2000,-87.0325,NaN,NaN,21.2466,0.6004,0.0857,0.0000,0.0000
221,1879.0000,2.2272,6.7000,0.0000,NaN,NaN,3.8315,NaN,0.0769,0.0000,0.0256
222,1878.0000,3.4431,7.6000,0.0000,NaN,NaN,14.2993,NaN,0.3750,0.0000,0.1250
223,1874.0000,2.8858,6.9000,-156.0898,NaN,NaN,44.5783,0.4973,0.0230,0.0000,0.0000
224,1868.0000,3.3735,6.3000,0.0000,NaN,NaN,38.6169,NaN,0.0119,0.0000,0.0000
225,1864.0000,2.3335,6.6500,-23.0756,NaN,NaN,35.4649,0.6302,0.0789,0.0000,0.0526
226,1848.0000,2.8387,6.4000,-118.1155,NaN,NaN,50.9458,0.5066,0.1304,0.0000,0.0000
227,1843.0000,2.6507,7.4000,-67.9512,NaN,NaN,28.2407,0.6258,0.0364,0.0000,0.0182
228,1843.0000,4.6781,7.3000,-73.8419,NaN,NaN,54.0480,0.5733,0.1111,0.0000,0.0000
229,1838.0000,4.3177,7.6000,-127.0314,NaN,NaN,44.3130,0.5033,0.0488,0.0000,0.0000
230,1837.0000,-2.3850,6.8500,-54.4855,NaN,NaN,27.6797,0.6240,0.0385,0.0000,0.0000
231,1822.0000,2.9959,8.0000,-22.8284,NaN,NaN,13.8350,0.6569,0.1250,0.0000,0.0000
232,1789.0000,5.2602,6.9000,0.0000,NaN,NaN,45.0632,NaN,0.0000,0.0000,0.0000
233,1789.0000,0.3097,7.5000,-209.0045,NaN,NaN,7.6997,0.5864,0.0577,0.0000,0.0385
234,1781.0000,3.6331,7.3000,0.0000,NaN,NaN,46.0218,NaN,0.0000,0.0000,0.0000
235,1757.0000,5.7220,5.5500,0.0000,NaN,NaN,53.0941,NaN,0.0909,0.0000,0.0000
236,1743.0000,-6.1280,7.1500,-191.0465,NaN,NaN,56.9787,0.4828,0.0063,0.0000,0.0000
237,1736.0000,-1.1714,7.2000,-83.0722,NaN,NaN,58.1592,0.5352,0.0465,0.0000,0.0000
238,1726.0000,3.2716,7.0500,0.0000,NaN,NaN,55.0153,NaN,0.0370,0.0000,0.0000
239,1718.0000,4.5836,7.8500,0.0000,NaN,NaN,36.9504,NaN,0.0800,0.0000,0.0000
240,1713.0000,3.6836,7.1500,0.0000,NaN,NaN,48.8695,NaN,0.0606,0.0000,0.0303
241,1697.0000,-2.7030,6.5000,0.0000,NaN,NaN,53.8776,NaN,0.0000,0.0000,0.0000
242,1692.0000,-2.6587,6.8000,0.0000,NaN,NaN,20.3487,NaN,0.0286,0.0556,0.0286
243,1689.0000,4.8834,7.9000,-68.9430,NaN,NaN,12.6644,0.6277,0.1053,0.0000,0.0000
244,1678.0000,2.5855,8.4000,0.0000,NaN,NaN,25.7135,NaN,0.0000,0.0000,0.0000
245,1678.0000,4.3133,7.3500,0.0000,NaN,NaN,36.8728,NaN,0.0278,0.0000,0.0278
